Info on the massive 1146 galaxies across all haloes: 

## Largest 1146 galaxies
## from: /disk01/rad/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID    Mstar     Mgas      SFR       r         fgas   nrho      Central	|  Mhalo     HID
 0053  1.14e+08  1.52e+09  3.88e-01  2.95e+00  0.930  3.82e-09  True	|  9.40e+10  32 
 0054  7.04e+07  1.55e+09  3.66e-01  8.00e+00  0.956  7.64e-09  True	|  6.03e+10  81 
 0055  2.46e+07  1.59e+09  1.56e-01  5.01e+00  0.985  3.82e-09  True	|  8.92e+10  35 
 0056  4.77e+07  1.52e+09  1.45e-01  3.18e+00  0.970  3.82e-09  True	|  3.63e+10  195 
 0057  5.18e+07  1.49e+09  9.26e-01  4.03e+00  0.966  7.64e-09  True	|  6.22e+10  77 
 0058  2.03e+07  1.50e+09  4.21e-01  4.02e+00  0.987  5.73e-09  True	|  8.52e+10  44 
 0059  3.27e+07  1.49e+09  5.70e-02  7.63e+00  0.979  1.91e-09  True	|  1.07e+11  26 
 0060  1.10e+08  1.41e+09  4.74e-01  2.99e+00  0.928  7.64e-09  True	|  8.86e+10  36 
 0061  6.24e+07  1.44e+09  3.48e-01  2.71e+00  0.958  1.91e-09  True	|  5.10e+10  111 
 0062  2.61e+07  1.47e+09  9.85e-02  3.86e+00  0.983  1.91e-09  True	|  4.79e+10  124 
 0063  1.36e+08  1.35e+09  4.04e-01  5.45e+00  0.909  1.72e-08  False	|  1.21e+12  0 
 0064  5.17e+07  1.43e+09  9.42e-02  7.65e+00  0.965  5.73e-09  True	|  6.67e+10  68 
 0065  5.78e+07  1.42e+09  1.07e-01  3.32e+00  0.961  3.82e-09  True	|  5.25e+10  103 
 0066  8.39e+07  1.36e+09  4.59e-01  6.13e+00  0.942  3.82e-09  True	|  7.34e+10  56 
 0067  8.86e+07  1.34e+09  1.85e-01  3.51e+00  0.938  3.82e-09  True	|  6.87e+10  64 
 0068  4.80e+07  1.37e+09  1.11e-01  4.75e+00  0.966  3.82e-09  True	|  8.70e+10  42 
 0069  1.42e+08  1.27e+09  3.87e-01  3.46e+00  0.899  1.34e-08  False	|  2.79e+11  6 
 0070  3.90e+07  1.36e+09  3.37e-01  6.36e+00  0.972  5.73e-09  True	|  9.08e+10  34 
 0071  9.86e+06  1.39e+09  9.20e-02  4.40e+00  0.993  1.91e-09  True	|  4.17e+10  158 
 0072  3.57e+07  1.36e+09  1.73e-01  3.02e+00  0.974  3.82e-09  True	|  4.15e+10  160 
 0073  6.70e+07  1.32e+09  1.72e-01  4.73e+00  0.952  1.91e-09  True	|  5.07e+10  113 
 0074  3.54e+07  1.34e+09  2.06e-01  2.77e+00  0.974  5.73e-09  False	|  8.52e+10  44 
 0075  3.94e+07  1.32e+09  2.40e-01  4.45e+00  0.971  1.91e-09  True	|  8.78e+10  40 
 0076  9.44e+07  1.27e+09  5.22e-01  2.67e+00  0.931  1.91e-09  True	|  5.98e+10  83 
 0077  4.49e+07  1.31e+09  2.26e-01  4.83e+00  0.967  5.73e-09  True	|  6.96e+10  61 
 0078  3.12e+07  1.31e+09  2.39e-01  3.25e+00  0.977  1.91e-09  True	|  5.11e+10  109 
 0079  4.02e+07  1.26e+09  2.67e-01  4.09e+00  0.969  1.91e-09  True	|  3.86e+10  178 
 0080  5.39e+07  1.24e+09  1.15e-01  3.98e+00  0.958  9.55e-09  True	|  6.90e+10  63 
 0081  4.72e+07  1.25e+09  9.17e-02  4.67e+00  0.964  3.82e-09  True	|  5.37e+10  98 
 0082  1.18e+08  1.17e+09  3.06e-01  4.71e+00  0.908  1.91e-09  True	|  7.91e+10  50 
 0083  1.10e+08  1.17e+09  5.47e-01  3.80e+00  0.914  1.91e-09  True	|  6.40e+10  75 
 0084  3.76e+07  1.24e+09  2.16e-01  3.57e+00  0.971  5.73e-09  True	|  4.27e+10  154 
 0085  5.45e+07  1.22e+09  3.11e-01  2.83e+00  0.957  5.73e-09  True	|  9.20e+10  33 
 0086  3.35e+07  1.22e+09  1.47e-01  3.05e+00  0.973  1.91e-09  True	|  4.95e+10  117 
 0087  4.41e+07  1.20e+09  1.03e-01  7.98e+00  0.965  7.64e-09  True	|  6.44e+10  71 
 0088  2.52e+07  1.21e+09  6.71e-02  2.62e+00  0.980  1.91e-09  True	|  3.66e+10  190 
 0089  1.12e+07  1.21e+09  2.16e-01  5.44e+00  0.991  5.73e-09  True	|  5.18e+10  106 
 0090  2.74e+07  1.19e+09  9.46e-02  3.96e+00  0.978  1.91e-09  True	|  3.25e+10  236 
 0091  5.44e+07  1.17e+09  2.54e-01  5.76e+00  0.955  1.91e-09  True	|  5.17e+10  108 
 0092  5.31e+07  1.17e+09  1.18e-01  2.51e+00  0.956  7.64e-09  False	|  1.83e+11  12 
 0093  2.68e+07  1.19e+09  1.47e-01  5.06e+00  0.978  1.91e-09  True	|  5.63e+10  91 
 0094  1.71e+07  1.20e+09  1.96e-01  4.94e+00  0.986  1.91e-09  True	|  2.87e+10  295 
 0095  1.59e+07  1.20e+09  5.81e-02  3.50e+00  0.987  1.91e-09  True	|  2.98e+10  280 
 0096  1.82e+07  1.19e+09  4.32e-02  3.58e+00  0.985  1.91e-09  True	|  4.52e+10  141 
 0097  7.16e+07  1.14e+09  1.47e-01  7.51e+00  0.941  1.34e-08  False	|  2.97e+11  5 
 0098  3.72e+07  1.17e+09  2.11e-01  3.57e+00  0.969  7.64e-09  False	|  1.25e+11  21 
 0099  8.81e+07  1.12e+09  3.06e-01  3.78e+00  0.927  1.91e-09  True	|  4.39e+10  146 
 0100  5.36e+07  1.14e+09  1.28e-01  3.91e+00  0.955  5.73e-09  True	|  4.55e+10  139 
 0101  3.33e+07  1.14e+09  1.68e-01  4.11e+00  0.972  3.82e-09  True	|  2.91e+10  291 
 0102  3.12e+07  1.14e+09  1.05e-01  5.90e+00  0.973  1.91e-09  True	|  5.09e+10  112 
 0103  4.52e+07  1.13e+09  4.17e-01  3.22e+00  0.961  3.82e-09  True	|  4.66e+10  133 
 0104  1.40e+08  1.03e+09  3.27e-01  2.68e+00  0.880  5.73e-09  True	|  7.11e+10  60 
 0105  1.31e+07  1.14e+09  6.31e-02  3.06e+00  0.989  1.91e-09  True	|  2.19e+10  460 
 0106  4.13e+07  1.10e+09  1.23e-01  4.08e+00  0.964  1.72e-08  False	|  5.40e+11  2 
 0107  1.58e+07  1.12e+09  3.20e-02  3.98e+00  0.986  1.91e-09  True	|  2.69e+10  334 
 0108  7.19e+07  1.05e+09  1.93e-01  4.90e+00  0.936  1.91e-09  True	|  6.40e+10  73 
 0109  1.92e+07  1.10e+09  3.96e-02  3.79e+00  0.983  1.91e-09  True	|  2.95e+10  284 
 0110  3.37e+07  1.09e+09  4.26e-01  3.03e+00  0.970  1.91e-09  True	|  2.80e+10  310 
 0111  1.04e+08  1.01e+09  3.48e-01  2.40e+00  0.907  5.73e-09  True	|  4.55e+10  138 
 0112  4.59e+07  1.05e+09  2.61e-01  7.01e+00  0.958  7.64e-09  False	|  2.35e+11  7 
 0113  2.58e+07  1.06e+09  9.34e-02  6.24e+00  0.976  1.91e-09  True	|  3.45e+10  205 
 0114  4.06e+07  1.04e+09  1.61e-01  4.83e+00  0.963  1.91e-09  True	|  3.97e+10  173 
 0115  2.64e+07  1.05e+09  1.63e-01  2.69e+00  0.976  5.73e-09  True	|  5.17e+10  107 
 0116  4.67e+07  1.02e+09  8.36e-02  5.69e+00  0.956  3.82e-09  True	|  3.81e+10  182 
 0117  4.75e+07  1.02e+09  6.26e-02  6.02e+00  0.956  1.72e-08  False	|  5.32e+11  3 
 0118  2.48e+07  1.04e+09  7.08e-02  2.45e+00  0.977  3.82e-09  False	|  9.40e+10  32 
 0119  5.73e+07  1.00e+09  2.04e-01  3.16e+00  0.946  3.82e-09  True	|  6.83e+10  66 
 0120  1.09e+08  9.49e+08  1.47e-01  2.66e+00  0.897  1.91e-09  True	|  5.58e+10  94 
 0121  3.73e+07  1.01e+09  9.00e-02  2.43e+00  0.964  3.82e-09  True	|  4.14e+10  162 
 0122  3.56e+07  1.01e+09  1.33e-01  5.60e+00  0.966  3.82e-09  True	|  5.44e+10  97 
 0123  3.40e+07  1.00e+09  1.07e-01  3.27e+00  0.967  3.82e-09  True	|  4.53e+10  140 
 0124  1.16e+08  9.15e+08  1.85e-01  4.59e+00  0.888  1.91e-09  True	|  7.92e+10  49 
 0125  1.49e+07  1.01e+09  2.90e-02  4.53e+00  0.985  5.73e-09  True	|  6.08e+10  80 
 0126  4.92e+07  9.74e+08  6.80e-02  2.74e+00  0.952  1.91e-09  True	|  4.39e+10  147 
 0127  4.82e+07  9.75e+08  1.23e-01  3.09e+00  0.953  3.82e-09  True	|  2.98e+10  277 
 0128  3.48e+07  9.86e+08  5.23e-02  2.12e+00  0.966  1.91e-09  True	|  3.41e+10  210 
 0129  5.06e+07  9.69e+08  1.65e-01  2.80e+00  0.950  9.55e-09  True	|  3.61e+10  198 
 0130  7.62e+07  9.41e+08  5.53e-01  3.06e+00  0.925  3.82e-09  True	|  5.87e+10  85 
 0131  5.44e+07  9.54e+08  1.09e-01  4.72e+00  0.946  1.91e-09  True	|  4.26e+10  156 
 0132  3.25e+07  9.67e+08  1.69e-01  2.11e+00  0.967  9.55e-09  False	|  2.35e+11  7 
 0133  5.41e+07  9.36e+08  9.98e-02  2.89e+00  0.945  1.91e-09  True	|  3.74e+10  184 
 0134  5.03e+07  9.39e+08  1.21e-01  3.26e+00  0.949  5.73e-09  True	|  3.85e+10  179 
 0135  2.07e+07  9.67e+08  2.13e-01  3.82e+00  0.979  1.91e-09  True	|  3.74e+10  185 
 0136  5.03e+07  9.37e+08  7.51e-02  3.52e+00  0.949  3.82e-09  True	|  4.43e+10  145 
 0137  8.06e+06  9.58e+08  5.39e-02  2.12e+00  0.992  3.82e-09  True	|  7.45e+10  53 
 0138  1.67e+07  9.47e+08  3.93e-02  3.59e+00  0.983  1.91e-09  True	|  4.87e+10  121 
 0139  7.13e+07  8.87e+08  2.13e-01  4.13e+00  0.926  1.91e-09  True	|  4.20e+10  157 
 0140  2.50e+07  9.22e+08  1.53e-01  3.17e+00  0.974  1.91e-09  True	|  4.36e+10  151 
 0141  1.81e+07  9.27e+08  1.46e-01  1.93e+00  0.981  5.73e-09  True	|  8.08e+10  48 
 0142  5.03e+07  8.83e+08  2.54e-01  3.43e+00  0.946  5.73e-09  False	|  9.08e+10  34 
 0143  2.35e+07  9.01e+08  3.94e-02  7.12e+00  0.975  1.91e-09  True	|  3.84e+10  181 
 0144  1.79e+07  9.02e+08  8.33e-02  5.09e+00  0.981  5.73e-09  True	|  2.52e+10  369 
 0145  3.10e+07  8.88e+08  9.18e-02  6.22e+00  0.966  1.91e-09  True	|  2.85e+10  306 
 0146  1.07e+07  9.07e+08  2.06e-02  2.48e+00  0.988  3.82e-09  True	|  2.96e+10  282 
 0147  4.98e+07  8.61e+08  1.07e-01  1.85e+00  0.945  1.91e-09  True	|  4.38e+10  148 
