
## Largest 1146 Galaxies 
## from: /mnt/ceph/users/daisyleung/simba/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID      Mstar     Mgas      MBH    fedd    SFR [Msun/yr]       r_baryon   r_gas      r_gas_half_mass      r_stellar    r_stellar_half_mass    Z_sfrWeighted [/Zsun]    Z_massWeighted     Z_stellar     T_gas_massWeighted    T_gas_SFRWeighted   fgas   nrho      Central	|  Mhalo     HID
 0023  1.79e+08  2.67e+09  0.00e+00  0.00e+00  5.04e-01  5.32e+00  5.32e+00  1.14e+00  3.14e+00  4.25e-01   0.062   0.000  0.001  1.48e+04  2.21e+04  0.937  3.82e-09  True	|  -1.00e+00  -1 
 0024  1.12e+08  2.69e+09  0.00e+00  0.00e+00  3.07e-01  6.12e+00  6.12e+00  1.94e+00  3.96e+00  3.08e-01   0.063   0.000  0.001  1.26e+04  2.46e+04  0.960  5.73e-09  True	|  -1.00e+00  -1 
 0025  2.19e+08  2.29e+09  0.00e+00  0.00e+00  1.20e+00  7.56e+00  7.56e+00  1.71e+00  3.04e+00  1.99e-01   0.076   0.000  0.001  1.44e+04  3.95e+04  0.913  7.64e-09  True	|  -1.00e+00  -1 
 0026  2.24e+08  2.19e+09  0.00e+00  0.00e+00  7.37e-01  4.70e+00  4.70e+00  1.10e+00  3.41e+00  5.39e-01   0.081   0.000  0.001  1.35e+04  2.96e+04  0.907  1.91e-08  False	|  -1.00e+00  -1 
 0027  2.01e+08  2.17e+09  0.00e+00  0.00e+00  5.56e-01  3.98e+00  3.98e+00  9.88e-01  3.48e+00  5.55e-01   0.073   0.000  0.001  1.45e+04  2.41e+04  0.915  5.73e-09  True	|  -1.00e+00  -1 
 0028  6.65e+07  2.27e+09  0.00e+00  0.00e+00  3.29e-01  7.99e+00  7.99e+00  1.38e+00  6.50e+00  4.04e-01   0.062   0.000  0.001  1.24e+04  2.67e+04  0.972  1.34e-08  False	|  -1.00e+00  -1 
 0029  6.21e+07  2.28e+09  0.00e+00  0.00e+00  1.91e-01  1.01e+01  1.01e+01  1.64e+00  1.85e+00  2.32e-01   0.073   0.000  0.001  1.17e+04  2.89e+04  0.973  1.34e-08  False	|  -1.00e+00  -1 
 0030  1.57e+08  2.16e+09  0.00e+00  0.00e+00  6.97e-01  5.65e+00  5.65e+00  1.37e+00  5.37e+00  6.38e-01   0.065   0.000  0.001  1.56e+04  2.91e+04  0.932  1.91e-09  True	|  -1.00e+00  -1 
 0031  2.42e+08  2.04e+09  0.00e+00  0.00e+00  3.78e-01  6.69e+00  6.69e+00  1.94e+00  5.29e+00  2.10e-01   0.081   0.000  0.001  1.20e+04  2.72e+04  0.894  3.82e-09  True	|  -1.00e+00  -1 
 0032  3.19e+08  1.94e+09  0.00e+00  0.00e+00  7.98e-01  7.90e+00  7.90e+00  1.11e+00  3.08e+00  3.66e-01   0.082   0.000  0.001  1.41e+04  3.48e+04  0.859  7.64e-09  True	|  -1.00e+00  -1 
 0033  9.69e+07  2.16e+09  0.00e+00  0.00e+00  3.53e-01  4.65e+00  4.65e+00  1.07e+00  4.10e+00  6.21e-01   0.062   0.000  0.001  1.38e+04  2.43e+04  0.957  1.91e-09  True	|  -1.00e+00  -1 
 0034  5.84e+07  2.18e+09  0.00e+00  0.00e+00  4.19e-01  4.37e+00  4.37e+00  1.09e+00  3.51e+00  2.59e-01   0.052   0.000  0.001  1.42e+04  3.27e+04  0.974  1.91e-09  True	|  -1.00e+00  -1 
 0035  5.61e+07  2.16e+09  0.00e+00  0.00e+00  1.72e-01  4.66e+00  4.66e+00  1.92e+00  4.13e+00  6.44e-01   0.062   0.000  0.001  1.13e+04  2.29e+04  0.975  3.82e-09  True	|  -1.00e+00  -1 
 0036  9.22e+07  2.09e+09  0.00e+00  0.00e+00  2.43e-01  4.49e+00  4.49e+00  1.26e+00  2.23e+00  4.71e-01   0.062   0.000  0.001  1.38e+04  2.14e+04  0.958  7.64e-09  True	|  -1.00e+00  -1 
 0037  3.03e+08  1.81e+09  0.00e+00  0.00e+00  9.28e-01  5.38e+00  5.38e+00  7.23e-01  2.06e+00  3.58e-01   0.092   0.000  0.001  1.46e+04  3.28e+04  0.856  2.29e-08  False	|  -1.00e+00  -1 
 0038  3.36e+07  2.01e+09  0.00e+00  0.00e+00  1.37e-01  5.56e+00  5.56e+00  1.61e+00  5.06e+00  4.40e-01   0.045   0.000  0.001  1.15e+04  2.70e+04  0.984  3.82e-09  True	|  -1.00e+00  -1 
 0039  1.23e+08  1.88e+09  0.00e+00  0.00e+00  3.86e-01  4.20e+00  4.20e+00  1.03e+00  2.10e+00  4.77e-01   0.069   0.000  0.001  1.43e+04  2.32e+04  0.939  5.73e-09  True	|  -1.00e+00  -1 
 0040  9.36e+07  1.87e+09  0.00e+00  0.00e+00  5.03e-01  1.16e+01  1.16e+01  1.29e+00  7.47e+00  2.52e-01   0.064   0.000  0.001  1.47e+04  3.64e+04  0.952  7.64e-09  True	|  -1.00e+00  -1 
 0041  7.55e+07  1.88e+09  0.00e+00  0.00e+00  1.92e-01  8.06e+00  8.06e+00  1.88e+00  6.81e+00  4.67e-01   0.060   0.000  0.001  1.21e+04  2.48e+04  0.961  1.91e-09  True	|  -1.00e+00  -1 
 0042  2.65e+07  1.90e+09  0.00e+00  0.00e+00  8.25e-02  7.04e+00  7.04e+00  4.46e+00  5.69e+00  5.18e-01   0.047   0.000  0.000  1.17e+04  2.16e+04  0.986  1.91e-09  True	|  -1.00e+00  -1 
